session,identifier,title,primary_sponsors,co_sponsors,abstract,final_disposition,most_recent_action,signed_into_law,governor_bound,was_textually_amended,similarity_ratio,text_change_narrative,amendments_listed,nelis_url
80,SB503,AN ACT making an appropriation for the continuation of the Nevada Promise Scholarship Program; and providing other matters properly relating thereto.,Senate Committee on Finance,,AN ACT making an appropriation for the continuation of the Nevada Promise Scholarship Program; and providing other matters properly relating thereto.,Enacted,Enrolled and delivered to Governor. Approved by the Governor. Chapter 451.,Yes,Yes,No,0.6339,"No amendments or reprints appear on NELIS for this bill. The enrolled PDF may look different from the introduced PDF due to formatting, but there is no evidence the substance was amended before it reached the Governor.",,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6975/Overview
80,SB505,Makes an appropriation to the Office of Finance for an adjustment to school districts affected by the district of residence issue. (BDR S-1173),Senate Committee on Finance,,AN ACT relating to making an appropriation to the Office of Finance for an adjustment to school districts affected by the district of residence issue; and providing other matters properly relating thereto.,Enacted,Enrolled and delivered to Governor. Approved by the Governor. Chapter 452.,Yes,Yes,Yes,0.7162,The enrolled bill differs from the introduced version before it reached the Governor. NELIS lists adopted amendments: Amendment 1012.,Amendment 1012,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6977/Overview
80,SB52,Authorizes incentive scholarships for students seeking licenses to teach classes in certain endorsement areas relating to business and industry. (BDR 34-430),Senate Committee on Education,,"Existing law establishes various grant and scholarship programs to provide incentives to improve education in this State. (NRS 391A.400-391A.590) Sections 6-9 of this bill establish the Nevada Industry Engage Scholarship Program to provide scholarships to students seeking to obtain or renew a license granted by the Department of Education with an endorsement in certain areas relating to business and industry. Section 6 of this bill establishes the Nevada Industry Engage Scholarship Program Account in the State General Fund to receive money to pay for Nevada Industry Engage Scholarships. Section 10 of this bill makes an appropriation of money to the Account. Section 7 of this bill authorizes a university, college or program of professional development for teachers and administrators in this State to apply to the State Board of Education for a grant of money to fund Nevada Industry Engage Scholarships. A university, college or program of professional development for teachers and administrators is eligible to receive a grant if completing the program makes a student eligible to obtain or renew a license granted by the Department of Education with an endorsement in certain areas relating to business and industry, including, without limitation, health science and public safety, information and media technologies, and the skilled and technical sciences. Section 7 requires the State Board to establish the number of scholarships available each year based on available money and review such applications and award such grants. Section 7 also requires the State Board to retain 25 percent of such an award in the Account to disburse to a scholarship recipient who meets certain requirements. Section 7 allows a student who attends or has been accepted to attend a university, college or program of professional development for teachers and administrators that receives a grant to apply for a Nevada Industry Engage Scholarship. Section 8 of this bill requires a university, college or program of professional development for teachers and administrators that receives such a grant to award scholarships to approved students at the beginning of each semester by disbursing 75 percent of the scholarship amount for the semester to the scholarship recipient. Section 8 allows a scholarship recipient to receive the 25 percent of the scholarship money that was retained by the State Board only if the scholarship recipient completes the program for which he or she was awarded the scholarship, is employed as a teacher at a public school in this State for 5 consecutive school years following completion of the program and meets any other requirements established by the State Board. Section 9 of this bill requires a university, college or program of professional development for teachers and administrators that awards a scholarship to repay a certain amount to the State Board if the scholarship recipient leaves the program offered by the university, college or program of professional development for teachers and administrators. Section 9 also requires the State Board, to the extent that money is available, to pay a certain amount to the university, college or program of professional development for teachers and administrators that awards a scholarship if the scholarship recipient completes the program. A university, college or program of professional development for teachers and administrators that receives such a payment must use the money to pay costs associated with providing the program.",Failed,"(Pursuant to Joint Standing Rule No. 14.3.1, no further action allowed.)",No,No,,,,,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/5971/Overview
80,SB520,AN ACT making a supplemental appropriation to the State Distributive School Account for an unanticipated increase in K-12 enrollment for the 2017-2018 and 2018-2019 school years; and providing other matters properly relating thereto.,Senate Committee on Finance,,AN ACT making a supplemental appropriation to the State Distributive School Account for an unanticipated increase in K-12 enrollment for the 2017-2018 and 2018-2019 school years; and providing other matters properly relating thereto.,Enacted,Chapter 254.,Yes,Yes,Yes,0.5649,The enrolled bill differs from the introduced version before it reached the Governor. NELIS lists adopted amendments: Amendment 684.,Amendment 684,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6992/Overview
80,SB523,Makes a supplemental appropriation to the Department of Education for an unanticipated shortfall in personnel services expenditures for literacy programs. (BDR S-1248),Senate Committee on Finance,,AN ACT relating to making a supplemental appropriation to the Department of Education for an unanticipated shortfall in personnel services expenditures for literacy programs; and providing other matters properly relating thereto.,Enacted,Approved by the Governor. Chapter 301.,Yes,Yes,No,0.6829,"No amendments or reprints appear on NELIS for this bill. The enrolled PDF may look different from the introduced PDF due to formatting, but there is no evidence the substance was amended before it reached the Governor.",,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6995/Overview
80,SB528,"AN ACT making appropriations to the Lou Ruvo Center for Brain Health for research, clinical studies, operations and educational programs and to certain public entities for governmental administration; and providing other matters properly relating thereto.",Senate Committee on Finance,,"AN ACT making appropriations to the Lou Ruvo Center for Brain Health for research, clinical studies, operations and educational programs and to certain public entities for governmental administration; and providing other matters properly relating thereto.",Enacted,Approved by the Governor. Chapter 615.,Yes,Yes,Yes,0.04,"The enrolled bill differs from the introduced version before it reached the Governor. NELIS lists adopted amendments: Amendment 1014, Amendment 1131.",Amendment 1014; Amendment 1131,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/7001/Overview
80,SB538,AN ACT relating to governmental administration; creating the Office for New Americans in the Office of the Governor; establishing the duties of the Office; requiring state agencies and political subdivisions to provide certain assistance to the Office; requiring each regulatory body to create an online resource for immigrants that provides information about obtaining a license or similar authorization to practice certain occupations or professions; and providing other matters properly relating thereto.,Senate Committee on Government Affairs,,"Section 3 of this bill creates the Office for New Americans in the Office of the Governor and requires the Governor to appoint a Director of the Office. Section 3 authorizes the Director to adopt regulations and to apply for grants and accept gifts, grants and donations on behalf of the Office. Sections 3 and 4 of this bill require the Director to: (1) advise the Governor and each agency of the Executive Department of the State Government on all matters relating to the formulation and implementation of policies, programs and procedures affecting immigrants in this State; and (2) ensure that the Office performs certain duties. Section 5 of this bill requires, under certain circumstances, each agency, board, commission, department, officer, employee or agent of this State or a political subdivision of this State to provide assistance to the Office. Section 6 of this bill requires each regulatory body to create an online resource for immigrants that provides information on how to obtain a license to practice each occupation or profession which the regulatory body regulates. Existing law defines the term “license” to mean “any license, certificate, registration, permit or similar type of authorization issued by a regulatory body.” (NRS 622.030)",Enacted,Chapter 630.,Yes,Yes,Yes,0.5195,The enrolled bill differs from the introduced version before it reached the Governor. NELIS lists adopted amendments: Amendment 918.,Amendment 918,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/7038/Overview
80,SB543,Revises provisions relating to the funding of public schools. (BDR 34-1263),Senate Committee on Finance,,"Existing law declares that “the proper objective of state financial aid to public education is to ensure each Nevada child a reasonably equal educational opportunity” and establishes the Nevada Plan as a formula for distribution of state financial aid to the public schools in this State to accomplish that objective. (NRS 387.121) As part of the Nevada Plan, the Legislature establishes, during each legislative session and for each school year of the biennium, an estimated statewide average basic support guarantee per pupil. (NRS 387.122) This is the per pupil amount that is “guaranteed” on a statewide basis through a combination of state money and certain local revenues, supplemented by other local revenues which are not “guaranteed” by the state. The basic support guarantee for each school district is computed by multiplying the basic support guarantee per pupil that is established by law for the school district for each school year by pupil enrollment. (NRS 387.121-387.1223) In addition to the basic support guarantee per pupil, state financial aid to public education is provided through various programs, commonly known as “categorical funding,” that target specific purposes or populations of pupils for additional support. Such programs include, without limitation, the Account for the New Nevada Education Funding Plan, Zoom schools and Victory schools. (NRS 387.129-387.139; section 1 of chapter 544, Statutes of Nevada 2017, p. 3768; section 2 of chapter 389, Statutes of Nevada 2015, p. 2199) Beginning with the 2021-2023 biennium, this bill generally replaces the Nevada Plan with the Pupil-Centered Funding Plan, which combines money raised pursuant to state law at the local level with state money to provide a certain basic level of support to each pupil in this State which is adjusted: (1) to account for variation in the local costs to provide a reasonably equal educational opportunity to pupils; and (2) for the costs of providing a reasonably equal educational opportunity to pupils with certain additional educational needs. Section 15 of this bill designates the plan created by this bill as the Pupil-Centered Funding Plan and expresses the intent of the Legislature regarding its creation. Specifically, section 2 of this bill creates the State Education Fund and identifies numerous sources of revenues to be deposited into the Fund, in addition to direct legislative appropriations from the State General Fund. Section 2 also authorizes the Superintendent of Public Instruction to create one or more accounts in the State Education Fund for the purpose of administering money received from the Federal Government. Section 3 of this bill creates the Education Stabilization Account in the State Education Fund and provides for the funding of the Account and the use of the money in the Account. Sections 13, 26, 27, 49, 51, 52, 59-61, 64 and 66-73 of this bill direct certain sources of revenues to the State Education Fund. Sections 17, 19, 22-25, 31-35, 37-42, 45, 47, 48, 50, 53-56, 62, 63 and 65 of this bill make conforming changes for the direction of such sources of revenues to the State Education Fund and the replacement of the State Distributive School Account with the State Education Fund. Section 4 of this bill requires the Legislature, after making a direct legislative appropriation to the State Education Fund, to determine the statewide base per pupil funding amount for each fiscal year of the biennium. Section 4 expresses the intent of the Legislature that the statewide base per pupil funding amount should, to the extent practicable, increase each year by not less than inflation. Section 4 requires the Legislature to appropriate the whole of the State Education Fund, less the money in the Education Stabilization Account or any account created by the Superintendent to receive federal money, to fund, in an amount determined to be sufficient by the Legislature: (1) the operation of the State Board of Education, the Superintendent of Public Instruction and the Department of Education; (2) the food service, transportation and similar services of the school districts; (3) the operation of each school district for all pupils generally through adjusted base per pupil funding for each pupil enrolled in the school district; (4) the operation of each charter school and university school for profoundly gifted pupils for all pupils generally through a statewide base per pupil funding amount for each pupil enrolled in such a school, with an adjustment for certain schools; and (5) the additional educational needs of English learners, at-risk pupils, pupils with disabilities and gifted and talented pupils through additional weighted funding for each such pupil. Section 4 specifies that additional weighted funding be expressed as a multiplier to be applied to the statewide base per pupil funding amount and that a pupil who belongs to more than one category receive only the additional weighted funding for the single category with the highest multiplier. Section 4 generally prohibits the use of additional weighted funding for collective bargaining. Section 58 of this bill generally prohibits the use of a school district's ending fund balance for collective bargaining. The Nevada Constitution requires that the revenue from a tax upon the net proceeds of all minerals be appropriated to each county and apportioned among the respective governmental units within the county, including the school district. (Nev. Const. Art. 10, § 5) Sections 2 and 61 of this bill require the proceeds of such a tax that are apportioned to each school district to be deposited to the credit of the State Education Fund. Section 4 deems such money to be the first money appropriated as part of the adjusted base per pupil funding and weighted funding to the county school district from which the money originated. To the extent that money exceeds the adjusted base per pupil funding and weighted funding for the county school district to which it was apportioned, paragraph (b) of subsection 6 of section 4 of this bill requires the excess to be transferred to the county school district from which the money originated and authorizes the expenditure of that money as a continuing appropriation. Section 4 also specifies that the purposes for which the money may be used include mitigating the adverse effects of the cyclical nature of the mining industry on the school district. These effects include, without limitation, significant and rapid changes in the number of pupils enrolled in the school district which are a unique impediment to pupils receiving a reasonably equal educational opportunity in the counties in which the mining industry is pervasive and cannot be reasonably addressed in a uniform statewide funding plan. Sections 5-7 of this bill establish certain factors which are applied to the statewide base per pupil funding amount to create the adjusted base per pupil funding for each school district and certain charter schools and university schools for profoundly gifted pupils. Specifically, section 5 of this bill establishes a cost adjustment factor by which the statewide base per pupil funding amount is adjusted for each school district and certain charter schools and university schools for profoundly gifted pupils to account for variation between the counties in the cost of living and the cost of labor. Section 6 of this bill establishes an adjustment for each necessarily small school in a school district to account for the increased cost to operate certain schools which must necessarily be smaller than the school could be most efficiently operated. Section 7 of this bill establishes a small district equity adjustment by which the statewide base per pupil funding amount is adjusted for each school district to account for the increased cost per pupil to operate a school district in which relatively fewer pupils are enrolled. Sections 5-7 require the Department of Education to review and determine whether revisions are necessary to the method by which these adjustments are calculated in certain circumstances. Section 8 of this bill requires each school district to account separately for the adjusted base per pupil funding received by the school district and deduct an amount of not more than the amount prescribed by the Department by regulation of the adjusted base per pupil funding for the administrative expenses of the school district. Section 8 requires the remainder of the adjusted base per pupil funding to be distributed to the public schools in the school district in a manner that ensures each pupil in the school district receives a reasonably equal educational opportunity. Similarly, section 8 requires each school district to account separately for all weighted funding received by the school district. Section 8 requires all weighted funding to be distributed directly to each school in which the relevant pupils are enrolled. Section 8 also: (1) requires each public school to account separately for the adjusted base per pupil funding and each category of weighted funding the school receives; (2) requires weighted funding to be used for each relevant pupil to supplement the adjusted base per pupil funding for the pupil and provide such educational programs, services or support as are necessary to provide the pupil a reasonably equal educational opportunity; and (3) limits the use of weighted funding for at-risk pupils and English learners to certain services. Section 8 additionally contains certain provisions relating to the separate accounting of money for pupils with disabilities and gifted and talented pupils which are moved into this section from a separate provision of existing law. Sections 14, 16, 18, 20, 21, 28-30, 36, 43, 44, 46, 57, 74 and 80 of this bill make conforming changes. Section 9 of this bill generally requires the Governor, when preparing the proposed executive budget and to the extent practicable, to reserve an amount of money in the State General Fund for transfer to the State Education Fund which is sufficient to fully fund certain increases in the amount of money in the State Education Fund if the Economic Forum projects an increase in state revenue in the upcoming biennium. If the Economic Forum projects a decrease in state revenue, section 9 requires the Governor to reserve an amount of money in the State General Fund sufficient to ensure that the amount of money transferred from the State General Fund to the State Education Fund does not decrease by a greater percentage than the projected decline in state revenues. Section 9 requires the Governor to include in the proposed executive budget recommendations for the statewide base per pupil funding amount and the multiplier for each category of pupils. Section 9 requires the Governor to consider the recommendations of the Commission on School Funding for an optimal level of school funding and authorizes the Governor to reserve an additional amount of money for transfer to the State Education Fund to fund any such recommendation. Section 9 authorizes the Governor, as part of the proposed executive budget, to recommend revisions to education funding or additional education funding. Finally, section 9 authorizes the Governor to include in the proposed executive budget a recommendation for such funding for the public schools in this State as the Governor determines to be appropriate if the Governor determines that preparing a proposed executive budget as described in section 9 would be impracticable. If the Governor includes such a recommendation, the Governor must also recommend appropriate legislation to improve the method for determining funding for the public schools in this State. Section 10 of this bill creates the Commission on School Funding and prescribes its membership. Section 11 of this bill prescribes the duties of the Commission. Section 76 of this bill requires the Commission to project the distribution of education funding for the 2019-2021 biennium as if the Pupil-Centered Funding Plan were in effect and compare that projection to the projected distribution of education funding for the 2019-2021 biennium under existing law. Section 76 additionally requires each school district to project its budget for the 2019-2021 biennium as if the Pupil-Centered Funding Plan were in effect, compare that projection to its projected budget for the 2019-2021 biennium under existing law and submit both budgets to the Commission. Finally, section 76 requires the Commission to make recommendations for the implementation of the Pupil-Centered Funding Plan to the Governor and Legislature. Section 12 of this bill establishes certain reporting requirements for the Department of Education and for each school district and public school relating to educational expenditures. Section 74.5 of this bill makes an appropriation for the costs of implementing this bill.",Enacted,Chapter 624.,Yes,Yes,Yes,0.3273,"The enrolled bill differs from the introduced version before it reached the Governor. NELIS lists adopted amendments: Amendment 986, Amendment 990, Amendment 1135.",Amendment 986; Amendment 990; Amendment 1135,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/7052/Overview
80,SB545,AN ACT relating to state financial administration; revising the distribution of the proceeds of the excise tax on retail sales of marijuana and marijuana products; and providing other matters properly relating thereto.,Senate Committee on Finance,,"Existing law imposes a 10 percent excise tax on each retail sale of marijuana or marijuana products by a retail marijuana store in this State. Existing law requires that the revenues collected from that excise tax be deposited in the Account to Stabilize the Operation of the State Government, also known as the Rainy Day Fund, in the State General Fund. (NRS 372A.290) This bill requires instead that those revenues be deposited in the State Distributive School Account in the State General Fund.",Enacted,Chapter 536.,Yes,Yes,No,0.6127,"No amendments or reprints appear on NELIS for this bill. The enrolled PDF may look different from the introduced PDF due to formatting, but there is no evidence the substance was amended before it reached the Governor.",,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/7054/Overview
80,SB549,Revises provisions relating to allocations of money from the Account for the New Nevada Education Funding Plan. (BDR 34-1276),Senate Committee on Finance,,"Existing law requires the Department of Education to determine the number of pupils who: (1) are English learners or eligible for a free or reduced-price lunch; (2) scored at or below the 25th percentile of a prescribed assessment; (3) are not enrolled at a Zoom school or Victory school; and (4) do not have an individualized education program. Existing law requires the Department of Education to award an allocation of money from the Account for the New Nevada Education Funding Plan to public schools for each such pupil, beginning with the schools that received the lowest rating pursuant to the statewide system of accountability for public schools and then moving to the schools with the next higher rating to the extent of available money. (NRS 387.131) Section 1 of this bill removes references to the specific assessments that must be used to determine the pupils in grades kindergarten, 1, 2, 9 or 10 for which such an allocation of money may be awarded and instead requires the use of an assessment implemented by the Department for those grades. Existing law requires a public school that receives an allocation of money from the Account to use the money to provide certain services. (NRS 387.133) Existing law requires the Department of Education to contract with an independent evaluator to annually evaluate the effectiveness of such services. (NRS 387.139) Section 2 of this bill requires such an evaluation to be conducted biennially instead of annually.",Enacted,Approved by the Governor. Chapter 401.,Yes,Yes,No,0.4177,"No amendments or reprints appear on NELIS for this bill. The enrolled PDF may look different from the introduced PDF due to formatting, but there is no evidence the substance was amended before it reached the Governor.",,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/7066/Overview
80,SB551,Revises provisions relating to state financial administration. (BDR 32-1286),Senator Nicole Cannizzaro (Democratic),,"Existing law imposes an annual commerce tax on each business entity whose Nevada gross revenue in a fiscal year exceeds $4,000,000, with the rate of the commerce tax based on the industry in which the business entity is primarily engaged. (NRS 363C.200, 363C.300-363C.560) Existing law also imposes: (1) a payroll tax on financial institutions and on mining companies subject to the tax on the net proceeds of minerals, with the rate of the payroll tax set at 2 percent of the amount of the wages, as defined under existing law, paid by the financial institution or mining company during each calendar quarter in connection with its business activities; and (2) a payroll tax on other business entities, with the rate of the payroll tax set at 1.475 percent of the amount of the wages, as defined under existing law but excluding the first $50,000 thereof, paid by the business entity during each calendar quarter in connection with its business activities. (NRS 363A.130, 363B.110, 612.190) However, a business entity that pays both the payroll tax and the commerce tax is entitled to a credit against the payroll tax of a certain amount of the commerce tax paid by the business entity. (NRS 363A.130, 363B.110) Existing law further establishes a rate adjustment procedure that is used by the Department of Taxation to determine whether the rates of the payroll taxes should be reduced in future fiscal years under certain circumstances. Under the rate adjustment procedure, on or before September 30 of each even-numbered year, the Department must determine the combined revenue from the commerce tax and the payroll taxes for the preceding fiscal year. If that combined revenue exceeds a certain threshold amount, the Department must make additional calculations to determine future reduced rates for the payroll taxes. However, any future reduced rates for the payroll taxes do not go into effect and become legally operative until July 1 of the following odd-numbered year. (NRS 360.203) This rate adjustment procedure was enacted by the Legislature during the 2015 Legislative Session and became effective on July 1, 2015. (Sections 62 and 114 of chapter 487, Statutes of Nevada 2015, pp. 2896, 2955) Since July 1, 2015, no future reduced rates for the payroll taxes have gone into effect and become legally operative based on the rate adjustment procedure. As a result, the existing legally operative rates of the payroll taxes are still 2 percent and 1.475 percent, respectively. (NRS 363A.130, 363B.110) Section 39 of this bill eliminates the rate adjustment procedure used by the Department of Taxation to determine whether the rates of the payroll taxes should be reduced in any fiscal year. Section 37 of this bill maintains and continues the existing legally operative rates of the payroll taxes at 2 percent and 1.475 percent, respectively, without any changes or reductions in the rates of those taxes pursuant to the rate adjustment procedure for any fiscal year. Section 37 also provides that the Department must not apply or use the rate adjustment procedure to determine any future reduced rates for the payroll taxes for any fiscal year. Sections 2 and 3 of this bill make conforming changes. Existing law establishes a credit against the payroll tax paid by certain businesses equal to an amount which is approved by the Department and which must not exceed the amount of any donation of money which is made by a taxpayer to a scholarship organization that provides grants on behalf of pupils who are members of a household with a household income which is not more than 300 percent of the federally designated level signifying poverty to attend schools in this State, including private schools, chosen by the parents or legal guardians of those pupils (NRS 363A.130, 363B.110) Under existing law, the Department: (1) is required to approve or deny applications for the tax credit in the order in which the applications are received by the Department; and (2) is authorized to approve applications for each fiscal year until the amount of tax credits approved for the fiscal year is the amount authorized by statute for that fiscal year. Assembly Bill No. 458 of this legislative session establishes that for Fiscal Years 2019-2020 and 2020-2021, the amount authorized is $6,655,000 for each fiscal year. Sections 2.5 and 3.5 of this bill authorize the Department to approve, in addition to the amount of credits authorized for Fiscal Years 2019-2020 and 2020-2021, an amount of tax credits equal to $4,745,000 for each of those fiscal years. Section 30.75 of this bill: (1) prohibits a scholarship organization from using a donation for which the donor received a tax credit to provide a grant on behalf of a pupil unless the scholarship organization used a donation for which the donor received a tax credit to provide a grant on behalf of the pupil for the immediately preceding scholarship year or reasonably expects to provide a grant of the same amount on behalf of the pupil for each school year until the pupil graduates from high school; and (2) requires a scholarship organization to repay the amount of any tax credit approved by the Department if the scholarship organization violates this provision. Senate Bill No. 302 (S.B. 302) of the 78th Session of the Nevada Legislature established the education savings accounts program, pursuant to which grants of money are made to certain parents on behalf of their children to defray the cost of instruction outside the public school system. (Chapter 332, Statutes of Nevada 2015, p. 1824; NRS 353B.700-353B.930) Following a legal challenge of S.B. 302, the Nevada Supreme Court held in Schwartz v. Lopez, 132 Nev. 732 (2016), that the legislation was valid under Section 2 of Article 11 of the Nevada Constitution, which requires a uniform system of common schools, and under Section 10 of Article 11 of the Nevada Constitution, which prohibits the use of public money for a sectarian purpose. However, the Nevada Supreme Court found that the Legislature did not make an appropriation for the support of the education savings accounts program and held that the use of any money appropriated for K-12 public education for the education savings accounts program would violate Sections 2 and 6 of Article 11 of the Nevada Constitution. The Court enjoined enforcement of section 16 of S.B. 302, which amended NRS 387.124 to require that all money deposited in education savings accounts be subtracted from each school district's quarterly apportionments from the State Distributive School Account. Because the Court has enjoined this provision of law and the Legislature has not made an appropriation for the support of the education savings accounts program, the education savings accounts program is not operating. Section 39.5 of this bill eliminates the education savings accounts program. Sections 30.1-30.7 and 30.8-30.95 of this bill make conforming changes related to the elimination of the education savings accounts program. Section 31 of this bill makes an appropriation for the costs of school safety facility improvements. Section 36.5 of this bill makes an appropriation to provide supplemental support to the operations of the school districts of this State, distributed in amounts based on the 2018 enrollment of the school districts of this State.",Enacted,Chapter 537.,Yes,Yes,Yes,0.0161,The enrolled bill differs from the introduced version before it reached the Governor. NELIS lists adopted amendments: Amendment 1121.,Amendment 1121,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/7071/Overview
80,SB555,Ensures sufficient funding for K-12 public education for the 2019-2021 biennium. (BDR 34-1279),Senate Committee on Finance,,"AN ACT relating to education; ensuring sufficient funding for K-12 public education for the 2019-2021 biennium; apportioning the State Distributive School Account in the State General Fund for the 2019-2021 biennium; authorizing certain expenditures; making appropriations for purposes relating to basic support, class-size reduction and other educational purposes; temporarily diverting the money from the State Supplemental School Support Account to the State Distributive School Account for use in funding operating costs and other expenditures of school districts and charter schools; and providing other matters properly relating thereto.",Enacted,Approved by the Governor. Chapter 376.,Yes,Yes,No,0.5991,"No amendments or reprints appear on NELIS for this bill. The enrolled PDF may look different from the introduced PDF due to formatting, but there is no evidence the substance was amended before it reached the Governor.",,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/7082/Overview
80,SB57,AN ACT relating to school property; making a blueprint of a public school confidential; authorizing or requiring the disclosure of a blueprint of a public or private school in certain circumstances; and providing other matters properly relating thereto.,Senate Committee on Education,,"Existing law requires the principal of a public school and the principal or person in charge of a private school to contact all appropriate local agencies to respond to a crisis or an emergency that requires immediate action. (NRS 388.257, 394.1696) Section 2 of this bill makes a blueprint of a public school confidential. Section 2 also: (1) requires the most current version of a blueprint of a public school be disclosed to a public safety agency upon its request; and (2) authorizes the disclosure of such a blueprint to certain persons or governmental entities for purposes related to the public school. Section 3 of this bill requires the principal or person in charge of a private school to provide a copy of the most current blueprint of the school of which he or she is in charge to a public safety agency upon its request. Sections 2 and 3 prohibit any person or governmental entity to which a blueprint of a school is disclosed from disclosing the blueprint except pursuant to a court order. Section 5 of this bill makes a conforming change.",Enacted,Chapter 198.,Yes,Yes,Yes,0.2003,"The enrolled bill differs from the introduced version before it reached the Governor. NELIS lists adopted amendments: Amendment 166, Amendment 547.",Amendment 166; Amendment 547,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/5976/Overview
